2025-02-19 01:50:05,636 [INFO]: 🚀 Starting AlphaZero Training for Tic-Tac-Toe
2025-02-19 01:50:06,212 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,216 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,217 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,219 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,221 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,224 [INFO]: 🏆 Episode 7: Winner = 0, Loss = 0.0125
2025-02-19 01:50:06,226 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,230 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,232 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,234 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,236 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,238 [INFO]: 🏆 Episode 8: Winner = 1, Loss = 5.1954
2025-02-19 01:50:06,240 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,242 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,245 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,247 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,249 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,252 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,253 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,255 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,257 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,259 [INFO]: 🏆 Episode 9: Winner = 0, Loss = 0.0175
2025-02-19 01:50:06,262 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,265 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,267 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,269 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,272 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,274 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,276 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,279 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,281 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,283 [INFO]: 🏆 Episode 10: Winner = 0, Loss = 0.0176
2025-02-19 01:50:06,287 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,289 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,291 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,294 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,296 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,298 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,300 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,302 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,304 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,306 [INFO]: 🏆 Episode 11: Winner = 0, Loss = 0.0156
2025-02-19 01:50:06,309 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,311 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,313 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,316 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,318 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,320 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,322 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,325 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,327 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,329 [INFO]: 🏆 Episode 12: Winner = 0, Loss = 0.0135
2025-02-19 01:50:06,332 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,334 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,336 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,339 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,341 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,343 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,345 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,347 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,349 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,351 [INFO]: 🏆 Episode 13: Winner = 0, Loss = 0.0116
2025-02-19 01:50:06,354 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,356 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,358 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,360 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,363 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,365 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,367 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,369 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,371 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,373 [INFO]: 🏆 Episode 14: Winner = 0, Loss = 0.0102
2025-02-19 01:50:06,375 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,378 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,380 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,382 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,384 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,386 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,388 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,390 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,391 [INFO]: 🏆 Episode 15: Winner = -1, Loss = 7.4068
2025-02-19 01:50:06,394 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,396 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,399 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,401 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,403 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,405 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,407 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,409 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,411 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,413 [INFO]: 🏆 Episode 16: Winner = 0, Loss = 0.0145
2025-02-19 01:50:06,416 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,418 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,420 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,422 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,424 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,426 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,428 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,432 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,433 [INFO]: 🏆 Episode 17: Winner = -1, Loss = 7.8514
2025-02-19 01:50:06,436 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,438 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,441 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,443 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,446 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,448 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,450 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,452 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,454 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,456 [INFO]: 🏆 Episode 18: Winner = 0, Loss = 0.0173
2025-02-19 01:50:06,458 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,460 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,462 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,464 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,466 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,468 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,471 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,473 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,475 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,478 [INFO]: 🏆 Episode 19: Winner = 1, Loss = 9.3367
2025-02-19 01:50:06,480 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,483 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,485 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,488 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,490 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,493 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,495 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,497 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,499 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,501 [INFO]: 🏆 Episode 20: Winner = 1, Loss = 9.1731
2025-02-19 01:50:06,503 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,506 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,508 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,510 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,512 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,514 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,516 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,518 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,520 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,523 [INFO]: 🏆 Episode 21: Winner = 1, Loss = 9.0293
2025-02-19 01:50:06,525 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,528 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,530 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,532 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,534 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,536 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,539 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,542 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,545 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,547 [INFO]: 🏆 Episode 22: Winner = 0, Loss = 0.0117
2025-02-19 01:50:06,549 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,551 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,554 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,556 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,558 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,560 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,564 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,566 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,567 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,570 [INFO]: 🏆 Episode 23: Winner = 0, Loss = 0.0108
2025-02-19 01:50:06,572 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,575 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,579 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,581 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,583 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,585 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,587 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,589 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,591 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,594 [INFO]: 🏆 Episode 24: Winner = 0, Loss = 0.0099
2025-02-19 01:50:06,596 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,598 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,600 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,603 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,605 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,607 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,609 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,611 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,613 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,615 [INFO]: 🏆 Episode 25: Winner = 0, Loss = 0.0091
2025-02-19 01:50:06,618 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,620 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,622 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,624 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,626 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,629 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,631 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,633 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,635 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,637 [INFO]: 🏆 Episode 26: Winner = 0, Loss = 0.0085
2025-02-19 01:50:06,639 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,641 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,646 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,662 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,666 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,669 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,673 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,675 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,677 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,679 [INFO]: 🏆 Episode 27: Winner = 0, Loss = 0.0080
2025-02-19 01:50:06,681 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,684 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,687 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,689 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,691 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,693 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,696 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,698 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,700 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,702 [INFO]: 🏆 Episode 28: Winner = 0, Loss = 0.0076
2025-02-19 01:50:06,704 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
2025-02-19 01:50:06,707 [INFO]: 🤖 Best Move Selected by MCTS: (0, 2)
2025-02-19 01:50:06,709 [INFO]: 🤖 Best Move Selected by MCTS: (1, 0)
2025-02-19 01:50:06,711 [INFO]: 🤖 Best Move Selected by MCTS: (1, 1)
2025-02-19 01:50:06,713 [INFO]: 🤖 Best Move Selected by MCTS: (2, 0)
2025-02-19 01:50:06,715 [INFO]: 🤖 Best Move Selected by MCTS: (2, 1)
2025-02-19 01:50:06,717 [INFO]: 🤖 Best Move Selected by MCTS: (2, 2)
2025-02-19 01:50:06,719 [INFO]: 🤖 Best Move Selected by MCTS: (0, 0)
2025-02-19 01:50:06,721 [INFO]: 🤖 Best Move Selected by MCTS: (0, 1)
2025-02-19 01:50:06,722 [INFO]: 🏆 Episode 29: Winner = 0, Loss = 0.0073
2025-02-19 01:50:06,725 [INFO]: 🤖 Best Move Selected by MCTS: (1, 2)
